ID,run298.10-0MS_AGTTCC_L002,run298.11-5GS_ATGTCA_L003,run298.12-5MS_CCGTCC_L003,run298.13-20GS_GTCCGC_L004,run298.14-20MS_GTGAAA_L004,run298.15-150GS_GTGGCC_L005,run298.16-150MS_GTTTCG_L005,run298.9-0GS_AGTCAA_L002
AT1G01010,1115,1430,970,1086,1065,1070,1065,1226
AT1G01020,1260,1122,1048,1519,1185,1208,1028,1455
AT1G01030,54,34,35,29,32,30,36,49
AT1G01040,3272,3429,3146,2439,2586,3134,3441,2929
AT1G01046,20,31,28,15,22,28,31,17
AT1G01050,8746,9026,7960,8717,8280,9025,7365,10404
AT1G01060,1977,3398,1974,1769,2552,1919,1952,2534
AT1G01070,1236,1407,1158,1254,1258,1220,1086,1534
AT1G01073,0,0,1,0,0,0,0,0
AT1G01080,323,330,294,351,348,318,286,351
AT1G01090,21692,22919,19788,19104,19719,21046,19783,24851
AT1G01100,28686,25943,24642,29568,25367,28458,23298,31986
AT1G01110,1240,1067,1068,1123,1191,1236,1242,1367
AT1G01115,0,0,0,0,0,0,0,0
AT1G01120,2951,4038,3039,2560,2597,2527,2702,3852
AT1G01130,275,257,228,265,244,261,216,336
AT1G01140,354,652,386,354,351,438,383,447
AT1G01150,1,7,1,5,3,2,7,3
AT1G01160,2291,2089,2012,2546,2229,2146,2000,2609
AT1G01170,70,80,74,131,99,115,65,133
AT1G01180,598,703,611,626,571,597,783,742
AT1G01183,7,5,3,4,4,6,3,8
AT1G01190,34,20,20,27,25,37,24,23
AT1G01200,630,648,615,622,633,761,627,704
AT1G01210,1200,1053,1057,1185,1004,1138,1058,1429
AT1G01220,3960,4134,3742,3304,3603,4117,3982,3842
AT1G01225,378,342,384,389,351,351,338,435
AT1G01230,2839,3027,2518,3059,2771,2931,2681,3462
AT1G01240,359,390,325,473,370,343,382,401
AT1G01250,0,0,0,0,0,0,2,0
AT1G01260,2211,2106,1991,1745,1906,2224,2049,2168
AT1G01270,0,0,0,0,0,0,0,0
AT1G01280,0,1,0,0,0,0,0,0
AT1G01290,1064,1138,979,1163,1079,1189,1050,1283
AT1G01300,6517,6695,6707,5920,5814,7628,6347,7181
AT1G01305,2,2,2,2,2,0,3,3
AT1G01310,11,8,8,14,3,10,6,11
AT1G01320,1569,1532,1478,1257,1422,1510,1441,1497
AT1G01340,546,566,409,425,477,558,460,625
AT1G01350,2060,1978,1783,1842,1812,1945,1823,2225
AT1G01355,0,0,3,1,0,0,0,0
AT1G01360,1094,1034,916,1097,1001,1024,1015,1280
AT1G01370,695,600,638,693,643,779,733,823
AT1G01380,267,176,253,235,190,180,250,286
AT1G01390,0,1,2,5,3,2,2,2
AT1G01400,0,1,0,0,0,1,0,0
AT1G01410,0,0,0,0,0,0,0,0
AT1G01420,76,137,50,81,86,90,55,85
AT1G01430,2721,2428,2566,2442,2219,2410,2305,3037
AT1G01440,1662,1609,1484,1276,1380,1472,1607,1684
AT1G01448,293,323,305,427,340,394,294,347
AT1G01450,0,0,0,0,0,0,0,0
AT1G01453,1334,1707,1025,1110,1179,1895,847,1439
AT1G01460,8,9,7,8,5,8,6,5
AT1G01470,2294,4071,2368,2666,3244,3520,2524,3658
AT1G01471,0,0,0,0,0,0,0,0
AT1G01480,571,380,551,445,352,411,506,496
AT1G01490,2985,3689,2929,3154,3100,3000,2521,4047
AT1G01500,452,530,453,484,478,457,473,480
AT1G01510,4698,4534,4284,3942,4029,4650,4380,4681
AT1G01520,15,16,10,24,18,23,16,25
AT1G01530,1,0,0,1,0,1,0,0
AT1G01540,4791,5086,4572,3889,4075,4461,4673,4975
AT1G01550,8388,9404,7675,7696,7855,8049,7987,9754
AT1G01560,5,14,17,15,15,13,13,11
AT1G01570,308,448,316,279,340,276,299,382
AT1G01580,490,1272,496,554,1122,372,606,654
AT1G01590,1,0,0,0,1,1,0,2
AT1G01600,295,560,278,229,360,385,226,404
AT1G01610,3269,5485,3123,2876,3666,3433,2554,4393
AT1G01620,36162,27771,36477,31210,23320,24256,33491,37258
AT1G01630,6442,6841,5953,5417,5466,6258,5845,7146
AT1G01640,335,495,324,360,412,445,354,444
AT1G01650,3638,4067,3282,3131,3439,3925,3414,4288
AT1G01660,704,753,616,562,596,741,594,759
AT1G01670,105,91,91,105,83,110,92,113
AT1G01680,2,11,0,1,3,2,2,2
AT1G01690,888,851,833,841,855,1018,923,1006
AT1G01695,18,18,9,29,21,17,11,19
AT1G01700,56,52,40,39,59,71,55,59
AT1G01710,1946,2036,1869,1897,1809,1779,1628,2448
AT1G01720,4094,4448,4059,4292,3891,4361,4243,5006
AT1G01725,167,238,151,223,202,205,153,256
AT1G01730,1273,1343,1180,1441,1332,1387,1283,1520
AT1G01740,450,417,414,449,402,473,414,447
AT1G01750,8317,9061,6706,8622,8132,9245,6960,9628
AT1G01760,460,395,418,320,363,418,416,379
AT1G01770,765,768,667,665,647,727,568,828
AT1G01780,3052,2765,2588,2972,2455,3168,2273,3207
AT1G01790,2318,2196,2183,1760,2007,2285,2236,2081
AT1G01800,5237,5986,4602,4978,4952,5642,4866,6453
AT1G01810,46,48,39,47,42,50,35,61
AT1G01820,2437,2182,2146,2376,2253,2200,2229,2811
AT1G01830,1792,1666,1631,1487,1427,1673,1667,1822
AT1G01840,73,74,58,85,92,69,80,73
AT1G01860,359,355,342,380,381,362,336,445
AT1G01870,0,0,0,0,0,0,0,1
AT1G01880,100,87,114,100,84,86,101,98
AT1G01890,0,0,0,0,0,0,0,0
AT1G01900,544,563,585,379,383,464,518,510
AT1G01910,6808,7007,6278,5532,6032,6554,6212,7570
AT1G01920,2492,2401,2442,2326,2292,2425,2137,2730
AT1G01930,1307,1328,1240,1061,1103,1264,1204,1469
AT1G01940,1351,1287,1206,1416,1271,1240,1131,1647
AT1G01950,2681,2769,2462,2143,2318,2425,2532,2683
AT1G01960,19098,19629,18025,12915,15265,18159,17539,16674
AT1G01970,315,312,264,271,318,349,338,364
AT1G01980,0,1,0,0,0,2,0,6
AT1G01990,775,802,727,805,808,808,694,823
AT1G02000,1724,1843,1674,1467,1528,1586,1692,1947
AT1G02010,862,804,769,900,943,1034,869,923
AT1G02020,551,551,537,514,494,581,558,610
AT1G02030,175,139,137,150,155,143,151,168
AT1G02040,24,31,22,33,27,56,12,26
AT1G02050,667,684,642,790,697,823,685,819
AT1G02060,779,704,734,549,620,716,617,656
AT1G02065,0,0,0,0,0,0,0,0
AT1G02070,9,15,24,24,14,24,11,18
AT1G02074,0,0,0,0,0,0,0,0
AT1G02080,17875,18689,17085,12584,14741,17638,18058,15688
AT1G02090,4703,4511,4204,4144,4098,4172,3810,5193
AT1G02100,3142,3162,2934,3050,2972,3212,3186,3603
AT1G02110,2185,2049,1912,1840,1952,2264,2035,2399
AT1G02120,3753,4037,3512,3619,3488,3845,3859,4431
AT1G02130,4856,4641,4114,4710,4469,4771,4358,5134
AT1G02136,1,1,1,1,1,0,0,2
AT1G02140,9658,9398,8589,10247,9341,9516,9295,10961
AT1G02145,2237,2144,1930,2013,1884,2022,1910,2444
AT1G02150,2050,1832,1825,1729,1834,1810,1856,2130
AT1G02160,1047,1008,924,1183,909,979,921,1259
AT1G02170,2917,2989,2672,2794,2688,2711,2532,3351
AT1G02180,154,163,174,208,149,165,130,205
AT1G02190,1,2,0,2,0,1,1,3
AT1G02205,1036,1002,897,773,793,1026,741,1059
AT1G02210,0,0,0,0,0,0,0,0
AT1G02220,900,1205,899,912,943,1029,743,1128
AT1G02228,0,0,0,0,1,1,0,0
AT1G02230,191,178,196,160,106,141,139,169
AT1G02250,4,8,3,3,9,13,10,8
AT1G02260,2151,2147,2024,2154,1983,2307,2091,2290
AT1G02270,1189,1173,1141,1090,1088,1119,1064,1323
AT1G02280,1480,1424,1413,1466,1431,1499,1353,1790
AT1G02290,658,717,659,635,586,766,629,756
AT1G02300,61,102,66,75,74,111,47,74
AT1G02305,7337,9302,6887,6659,6986,7174,6836,9037
AT1G02310,306,403,350,289,299,312,326,406
AT1G02320,2,0,1,4,3,3,0,4
AT1G02330,2958,2983,2705,2892,2726,2847,2861,3318
AT1G02335,935,1578,1420,1161,1001,1085,1428,1008
AT1G02340,314,408,329,291,243,260,208,336
AT1G02350,113,94,96,106,99,113,86,130
AT1G02360,5898,6744,5915,5568,5270,5576,5659,6780
AT1G02370,1501,1366,1343,1162,1256,1397,1382,1603
AT1G02380,248,305,179,245,266,214,219,272
AT1G02390,294,369,326,242,308,344,346,331
AT1G02391,0,0,0,0,0,0,0,0
AT1G02400,826,957,758,781,955,790,847,983
AT1G02405,11,12,11,13,17,13,14,10
AT1G02410,2082,2002,1837,1921,1968,1899,1813,2207
AT1G02420,464,449,404,297,372,366,395,402
AT1G02430,382,340,320,390,348,384,367,378
AT1G02440,29,8,25,34,18,35,18,25
AT1G02450,13,18,19,24,13,10,16,13
AT1G02460,576,709,541,483,450,397,424,565
AT1G02470,8,15,6,8,13,14,8,18
AT1G02475,135,184,165,161,188,176,113,210
AT1G02480,0,0,0,0,0,0,0,0
AT1G02490,14,14,5,12,13,12,7,12
AT1G02500,69759,70536,64997,59806,60648,62918,62325,80101
AT1G02510,0,1,0,0,0,2,1,1
AT1G02520,4688,5037,4765,3653,3726,4858,5626,4146
AT1G02530,129,143,100,92,106,82,94,102
AT1G02540,0,0,0,0,0,0,0,0
AT1G02550,3,0,4,0,0,0,1,2
AT1G02560,5317,5601,4955,5130,5108,5352,4788,6445
AT1G02570,807,779,720,716,694,745,626,816
AT1G02575,196,89,185,155,96,93,147,177
AT1G02580,65,57,81,50,47,46,68,62
AT1G02590,0,0,0,0,0,0,0,0
AT1G02600,0,0,0,0,0,0,0,0
AT1G02610,246,186,174,218,205,201,209,230
AT1G02620,1,0,0,0,0,0,0,0
AT1G02630,0,0,0,0,0,0,0,0
AT1G02640,1276,1332,1322,1074,1017,1191,1307,1261
AT1G02650,76,52,57,66,54,68,63,68
AT1G02660,363,475,400,329,322,383,334,387
AT1G02670,241,178,207,188,197,163,174,229
AT1G02680,753,736,650,825,767,787,731,889
AT1G02681,5,0,0,1,0,0,0,1
AT1G02690,5212,5066,4757,4347,4612,4820,5090,5704
AT1G02700,40,59,44,47,44,36,54,51
AT1G02710,131,132,116,132,104,149,146,148
AT1G02720,2421,2629,2213,2084,2108,2082,2041,2443
AT1G02730,5410,5644,5459,3757,4561,5375,5507,5350
AT1G02740,572,598,503,463,552,641,592,628
AT1G02750,673,772,642,648,653,690,682,761
AT1G02760,0,0,0,0,0,0,0,0
AT1G02770,1,6,5,2,6,4,7,6
AT1G02780,104165,102597,95564,96950,96221,104884,95224,114242
AT1G02790,0,0,0,1,0,0,2,10
AT1G02800,8,5,4,7,8,2,8,5
AT1G02810,4488,4507,4094,3481,4149,4062,4507,4776
AT1G02813,118,162,115,140,141,126,96,163
AT1G02816,3106,3213,3045,3189,2681,2878,2734,3725
AT1G02820,14,9,11,9,13,16,6,15
AT1G02830,3,4,4,2,2,1,2,1
AT1G02840,9079,8770,8354,8499,8363,8678,8792,10300
AT1G02850,2939,3065,2634,3021,2677,2476,2442,3458
AT1G02860,461,581,478,482,451,526,473,561
AT1G02870,2774,2594,2622,2955,2522,2832,2580,3064
AT1G02880,3272,3358,3027,3409,3120,3121,3188,3665
AT1G02890,7322,8821,7217,5108,6192,7118,7214,7147
AT1G02900,6147,6640,5082,5862,5683,5903,5248,7788
AT1G02910,810,857,744,808,830,849,718,921
AT1G02920,355,444,335,433,476,653,430,535
AT1G02930,788,843,795,867,896,665,1065,1078
AT1G02940,0,0,0,0,0,0,0,0
AT1G02950,553,732,543,786,784,738,624,765
AT1G02952,6,1,2,2,1,0,1,4
AT1G02960,1565,1519,1420,1565,1380,1496,1316,1728
AT1G02965,7,9,7,5,3,10,6,5
AT1G02970,768,666,632,680,652,686,719,815
AT1G02980,19,16,9,13,10,10,12,10
AT1G02990,2440,2598,2363,1969,2163,2379,2746,2253
AT1G03000,1342,1412,1271,1061,1126,1294,1175,1420
AT1G03010,266,277,243,230,205,258,313,304
AT1G03020,1,0,0,0,0,0,0,0
AT1G03022,0,0,0,0,0,0,0,0
AT1G03030,1356,1344,1232,1274,1168,1156,1175,1581
AT1G03040,2215,2496,2065,2395,2226,2173,2146,2705
AT1G03050,0,0,0,2,0,0,0,0
AT1G03055,3,0,2,1,5,0,3,4
AT1G03060,13380,14132,12869,9191,10862,13249,14383,10459
AT1G03070,260,426,414,303,262,280,363,275
AT1G03080,13270,15783,13254,9928,10971,11667,13562,11746
AT1G03090,1774,2112,1723,1695,1787,2018,1570,2107
AT1G03100,674,637,595,480,525,638,658,596
AT1G03103,0,1,0,0,1,1,0,0
AT1G03106,27,34,28,32,29,40,19,24
AT1G03110,3026,2992,2693,2614,2939,2892,2832,3511
AT1G03120,34,36,33,32,28,36,24,32
AT1G03130,53,49,58,60,50,54,50,77
AT1G03140,3733,3744,3373,3321,3387,3661,3463,4022
AT1G03150,1701,1621,1531,1793,1501,1460,1309,2059
AT1G03160,1065,1161,1014,919,1038,1133,1078,1096
AT1G03170,9,13,11,6,11,16,8,18
AT1G03180,690,732,656,769,699,720,600,886
AT1G03190,1580,1513,1471,1251,1448,1503,1350,1700
AT1G03200,29,52,21,26,34,14,32,32
AT1G03210,2647,2593,2500,2652,2509,2607,2596,3083
AT1G03220,33945,35994,35699,31425,30070,25794,33484,37401
AT1G03230,12181,10716,10955,10968,10967,12699,10270,13725
AT1G03240,14,19,13,8,15,19,10,19
AT1G03250,1745,1783,1501,1608,1515,1573,1499,2062
AT1G03260,1069,986,996,947,1018,1105,1039,1186
AT1G03270,374,404,383,334,391,395,328,448
AT1G03280,3321,3315,3009,3057,3011,3170,3036,3573
AT1G03290,2395,2950,2243,2050,2360,2234,2249,2740
AT1G03300,284,285,262,261,255,260,291,280
AT1G03310,914,951,816,746,870,989,818,944
AT1G03320,3,6,2,1,6,3,0,3
AT1G03330,2785,2807,2423,3003,2694,2659,2404,3431
AT1G03340,42,59,57,70,61,37,47,69
AT1G03350,5753,5865,5527,4467,4839,5503,5649,6084
AT1G03360,2277,1985,1925,2009,1986,2069,2150,2527
AT1G03365,1857,1865,1784,1459,1626,1723,1688,2000
AT1G03370,3989,3984,3785,2861,3283,3691,3885,3699
AT1G03380,3544,4389,3421,2910,3169,3056,3396,3639
AT1G03390,5,4,2,4,2,5,3,2
AT1G03400,8,6,5,9,20,6,4,15
AT1G03410,529,583,486,361,432,264,616,512
AT1G03420,3,3,4,8,1,3,7,5
AT1G03430,725,700,694,812,680,740,645,909
AT1G03440,358,415,372,348,379,407,353,432
AT1G03445,25,29,37,23,24,20,37,46
AT1G03457,1216,1002,1172,989,851,863,1225,1230
AT1G03470,344,357,288,322,339,348,352,434
AT1G03475,2666,2781,2386,2332,2459,2480,2297,2995
AT1G03490,2,6,1,3,4,4,6,1
AT1G03495,285,341,232,262,319,308,231,298
AT1G03502,4,5,4,6,3,7,4,4
AT1G03506,9,14,9,6,3,12,7,12
AT1G03510,141,114,118,110,145,131,114,140
AT1G03515,0,0,0,0,0,0,0,0
