ID,run298.10-0MS_AGTTCC_L002,run298.11-5GS_ATGTCA_L003,run298.12-5MS_CCGTCC_L003,run298.13-20GS_GTCCGC_L004,run298.14-20MS_GTGAAA_L004,run298.15-150GS_GTGGCC_L005,run298.16-150MS_GTTTCG_L005,run298.9-0GS_AGTCAA_L002
AT1G01010,1115,1430,972,1086,1065,1071,1066,1226
AT1G01020,1343,1193,1120,1602,1252,1290,1086,1540
AT1G01030,54,34,35,29,32,30,36,49
AT1G01040,3277,3430,3153,2441,2590,3138,3444,2933
AT1G01046,20,31,28,15,22,28,31,17
AT1G01050,9052,9338,8236,8981,8572,9340,7624,10752
AT1G01060,1991,3419,1988,1773,2562,1927,1960,2548
AT1G01070,1248,1429,1173,1268,1281,1238,1101,1546
AT1G01073,0,0,1,0,0,0,0,0
AT1G01080,323,330,295,351,348,319,286,351
AT1G01090,21692,22945,19788,19124,19739,21046,19783,24860
AT1G01100,28880,26268,24797,29923,25527,28703,23501,32238
AT1G01110,1242,1069,1070,1125,1192,1237,1247,1370
AT1G01115,0,0,0,0,0,0,0,0
AT1G01120,2951,4038,3039,2560,2597,2527,2702,3852
AT1G01130,275,257,228,265,244,261,216,336
AT1G01140,371,676,400,364,359,456,394,467
AT1G01150,1,7,1,5,3,2,7,3
AT1G01160,2299,2103,2023,2557,2240,2163,2009,2623
AT1G01170,70,80,74,131,99,115,65,133
AT1G01180,598,703,611,626,571,597,783,742
AT1G01183,7,5,3,4,4,6,3,8
AT1G01190,34,20,20,27,25,37,24,23
AT1G01200,631,649,615,622,633,762,627,704
AT1G01210,1237,1067,1068,1206,1030,1159,1070,1466
AT1G01220,3969,4134,3744,3306,3604,4117,3983,3842
AT1G01225,378,342,384,389,351,351,338,435
AT1G01230,2839,3027,2518,3059,2771,2931,2681,3462
AT1G01240,359,390,325,473,370,343,383,401
AT1G01250,0,0,0,0,0,0,2,0
AT1G01260,2211,2106,1991,1745,1906,2224,2049,2168
AT1G01270,0,0,0,0,0,0,0,0
AT1G01280,0,1,0,0,0,0,0,0
AT1G01290,1064,1138,979,1163,1079,1189,1050,1284
AT1G01300,6517,6695,6707,5920,5814,7628,6347,7181
AT1G01305,2,2,2,2,2,0,3,3
AT1G01310,11,8,8,14,3,10,6,11
AT1G01320,1571,1533,1483,1258,1424,1514,1443,1504
AT1G01340,547,569,410,425,479,559,460,628
AT1G01350,2061,1979,1783,1842,1812,1945,1823,2225
AT1G01355,0,0,3,1,0,0,0,0
AT1G01360,1094,1034,916,1097,1001,1024,1015,1280
AT1G01370,708,616,659,706,662,799,755,842
AT1G01380,275,178,258,243,198,183,254,288
AT1G01390,0,1,2,5,3,2,2,2
AT1G01400,0,1,0,0,0,1,0,0
AT1G01410,0,0,0,0,0,0,0,0
AT1G01420,76,137,50,81,86,90,55,85
AT1G01430,2721,2428,2566,2442,2219,2410,2306,3037
AT1G01440,1662,1610,1485,1276,1380,1473,1608,1685
AT1G01448,293,323,305,427,340,394,294,347
AT1G01450,0,0,0,0,0,0,0,0
AT1G01453,1334,1707,1025,1110,1179,1895,847,1439
AT1G01460,8,9,7,8,5,8,6,5
AT1G01470,2294,4071,2368,2666,3245,3520,2524,3658
AT1G01471,0,0,0,0,0,0,0,0
AT1G01480,571,380,551,445,352,411,506,496
AT1G01490,3097,3817,3019,3280,3211,3105,2639,4157
AT1G01500,452,530,453,484,478,457,473,480
AT1G01510,4747,4570,4337,3986,4080,4688,4422,4720
AT1G01520,15,16,10,24,18,23,16,25
AT1G01530,1,0,0,1,0,1,0,0
AT1G01540,4801,5086,4577,3889,4075,4461,4673,4991
AT1G01550,8434,9443,7689,7720,7882,8094,8025,9805
AT1G01560,5,14,17,15,15,13,13,11
AT1G01570,308,448,316,279,340,276,299,382
AT1G01580,490,1272,496,554,1122,372,606,654
AT1G01590,1,0,0,0,1,1,0,2
AT1G01600,295,560,278,229,360,385,226,404
AT1G01610,3269,5485,3123,2876,3666,3433,2554,4393
AT1G01620,36165,27837,36493,31210,23320,24256,33491,37259
AT1G01630,6442,6841,5953,5417,5466,6258,5845,7146
AT1G01640,335,495,324,360,412,445,354,444
AT1G01650,3748,4192,3414,3227,3578,4052,3536,4435
AT1G01660,707,755,618,563,597,743,595,762
AT1G01670,105,91,91,105,83,110,92,113
AT1G01680,2,11,0,1,3,2,2,2
AT1G01690,921,871,844,863,883,1043,948,1028
AT1G01695,18,18,9,29,21,17,11,19
AT1G01700,56,52,40,39,59,71,55,59
