ID,run296.10-0MS_AGTTCC_L005,run296.11-5GS_ATGTCA_L006,run296.12-5MS_CCGTCC_L006,run296.13-20GS_GTCCGC_L007,run296.14-20MS_GTGAAA_L007,run296.15-150GS_GTGGCC_L008,run296.16-150MS_GTTTCG_L008,run296.9-0GS_AGTCAA_L005,run317.0GS-rep-2_TAGCTT_L001,run317.0GS-rep4_GTTTCG_L003,run317.0MS-rep-2_AGTCAA_L001,run317.0MS-rep-3_GTCCGC_L002,run317.20GS-rep-2_CTTGTA_L001,run317.20GS-rep4_GTGGCC_L003,run317.20MS-rep-2_ATGTCA_L002,run317.20MS-rep4_CGTACG_L003,run317.5GS-rep-2_GGCTAC_L001,run317.5GS-rep-3_CCGTCC_L002,run317.5MS-rep-2_AGTTCC_L002,run317.5MS-rep-3_GTGAAA_L003
AT1G01010,616,854,676,694,734,730,730,714,394,473,621,220,548,338,446,482,291,397,451,247
AT1G01020,547,598,539,676,610,615,572,619,439,566,663,416,561,461,454,735,321,473,482,482
AT1G01030,44,37,30,37,30,27,31,37,30,17,46,22,24,15,30,37,20,23,22,23
AT1G01040,1953,2215,2068,1678,2005,2132,2381,1731,1112,906,1739,544,1019,1038,1044,1163,941,779,1455,667
AT1G01046,24,14,25,12,24,22,14,22,9,10,15,1,7,11,9,17,7,6,15,10
AT1G01050,1143,1207,1122,1185,1195,1224,1141,1214,978,1134,1165,853,1106,982,947,1168,857,926,1046,922
AT1G01060,1130,1689,1297,1136,1552,1227,1282,1295,583,833,1146,343,991,503,652,881,621,776,923,524
AT1G01070,654,743,641,706,743,717,727,710,366,371,572,230,467,379,485,577,319,451,498,316
AT1G01073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01080,215,277,218,287,293,257,248,263,120,144,206,91,148,136,142,223,90,143,144,112
AT1G01090,2365,2484,2364,2389,2408,2488,2418,2468,1953,2190,2347,1589,2078,2114,2033,2162,1807,1805,2150,1822
AT1G01100,945,942,936,990,961,962,964,964,989,1083,1095,991,1079,997,984,1116,909,1009,1017,1011
AT1G01110,791,680,715,722,779,810,816,760,412,421,719,252,469,469,465,650,343,323,528,354
AT1G01115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01120,1192,1484,1255,1183,1275,1163,1214,1329,608,697,914,350,945,490,616,763,552,785,823,461
AT1G01130,117,151,115,128,151,149,125,162,86,107,125,63,97,94,88,149,54,67,94,82
AT1G01140,276,494,308,310,313,350,337,320,212,378,335,101,262,175,216,236,136,120,214,94
AT1G01150,3,4,4,2,3,5,5,1,1,4,3,0,1,2,3,6,2,1,0,1
AT1G01160,765,805,768,880,849,799,780,818,572,689,821,509,709,656,627,897,496,602,642,613
AT1G01170,56,63,56,74,68,80,51,78,38,55,59,23,73,33,29,74,23,82,46,47
AT1G01180,343,433,407,402,428,400,485,418,196,206,313,125,308,214,220,300,174,284,252,170
AT1G01183,2,3,2,7,3,3,5,4,3,2,4,0,0,2,6,4,1,2,3,5
AT1G01190,28,14,21,20,26,44,10,23,3,10,6,1,6,7,9,19,12,53,9,4
AT1G01200,369,421,408,421,426,470,408,406,228,299,376,171,334,218,238,342,149,209,294,214
AT1G01210,395,455,400,479,422,435,405,429,360,490,486,329,437,373,363,539,278,373,391,383
AT1G01220,1955,2118,2024,1862,2089,2209,2171,1966,1173,1243,1773,679,1210,1152,1114,1330,896,779,1393,766
AT1G01225,249,247,298,314,276,279,276,291,134,141,217,111,163,163,147,242,113,144,195,125
AT1G01230,732,797,712,783,796,783,769,789,608,713,745,536,739,625,641,820,480,611,669,603
AT1G01240,242,282,273,374,341,286,311,316,196,200,305,99,232,168,204,330,143,253,208,134
AT1G01250,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AT1G01260,1195,1243,1180,1155,1232,1306,1226,1142,738,769,1133,425,770,705,741,880,574,499,889,540
AT1G01270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
AT1G01290,554,600,568,643,620,625,592,587,411,469,622,294,494,444,438,612,312,351,476,377
AT1G01300,1698,1735,1680,1699,1718,1889,1750,1699,1017,1312,1401,860,1223,1183,1070,1349,904,951,1208,954
AT1G01305,0,1,0,1,2,3,5,1,1,0,0,0,0,1,1,0,2,1,2,0
AT1G01310,6,9,9,8,8,12,4,6,6,8,6,3,9,4,3,10,1,4,4,9
AT1G01320,1160,1223,1174,1076,1226,1244,1172,1104,581,638,1135,311,676,672,652,777,512,464,835,354
AT1G01340,389,460,368,404,436,429,427,419,199,174,288,107,280,199,159,307,139,239,234,144
AT1G01350,823,903,847,888,883,909,865,909,606,729,857,403,696,577,634,760,446,505,660,513
AT1G01355,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AT1G01360,445,548,468,540,488,519,513,494,332,419,482,280,462,310,353,499,265,345,381,287
AT1G01370,438,407,385,455,451,470,433,448,312,366,423,219,378,316,337,450,228,260,318,290
AT1G01380,155,131,162,168,153,139,169,155,114,124,151,94,127,96,131,185,91,93,131,118
AT1G01390,1,3,1,4,3,1,3,1,0,0,1,1,3,0,0,0,0,1,1,0
